timestamp,time_s,disp_mm,disp_ul,raw_V,avg_V
2026-06-12T17:47:02.062881,0.696924,1.393848,24.492184,0.938743,0.916725
2026-06-12T17:47:02.074832,0.707082,1.414165,24.849191,0.963893,0.929162
2026-06-12T17:47:02.083782,0.717153,1.434306,25.203094,0.976790,0.938328
2026-06-12T17:47:02.097233,0.727700,1.455400,25.573760,0.981305,0.941461
2026-06-12T17:47:02.105512,0.737842,1.475683,25.930169,0.970987,0.942935
2026-06-12T17:47:02.116472,0.748210,1.496419,26.294535,0.922943,0.947034
2026-06-12T17:47:02.126519,0.758836,1.517673,26.667988,0.929070,0.954819
2026-06-12T17:47:02.138258,0.769088,1.538176,27.028260,0.963248,0.958319
2026-06-12T17:47:02.146164,0.780002,1.560004,27.411820,0.977435,0.960254
2026-06-12T17:47:02.158156,0.789759,1.579518,27.754710,0.980982,0.960853
2026-06-12T17:47:02.167404,0.800043,1.600085,28.116116,0.980337,0.960715
2026-06-12T17:47:02.176915,0.810226,1.620453,28.474008,0.907789,0.951686
2026-06-12T17:47:02.188912,0.820759,1.641519,28.844165,0.877802,0.945238
2026-06-12T17:47:02.199814,0.830548,1.661096,29.188165,0.906822,0.942059
2026-06-12T17:47:02.208289,0.841371,1.682742,29.568527,0.940677,0.938835
2026-06-12T17:47:02.218318,0.851724,1.703449,29.932376,0.941000,0.933630
2026-06-12T17:47:02.230317,0.861817,1.723634,30.287070,0.959056,0.930498
2026-06-12T17:47:02.238825,0.872002,1.744004,30.645001,0.948416,0.925937
2026-06-12T17:47:02.250181,0.882965,1.765930,31.030270,0.959701,0.933354
2026-06-12T17:47:02.259871,0.893118,1.786235,31.387072,0.972921,0.946942
2026-06-12T17:47:02.271741,0.903549,1.807098,31.753673,0.976790,0.956938
2026-06-12T17:47:02.283478,0.914283,1.828565,32.130879,0.982594,0.962926
2026-06-12T17:47:02.291496,0.924660,1.849319,32.495565,0.980982,0.968637
2026-06-12T17:47:02.304957,0.935324,1.870648,32.870347,0.980015,0.971631
2026-06-12T17:47:02.313307,0.945440,1.890881,33.225863,0.975178,0.975455
2026-06-12T17:47:02.324829,0.955494,1.910987,33.579169,0.977113,0.977942
2026-06-12T17:47:02.333127,0.966061,1.932123,33.950552,0.960669,0.976192
2026-06-12T17:47:02.342686,0.976594,1.953188,34.320702,0.871353,0.961129
2026-06-12T17:47:02.355005,0.986929,1.973859,34.683922,0.850717,0.942290
2026-06-12T17:47:02.363139,0.996929,1.993857,35.035330,0.896826,0.930267
2026-06-12T17:47:02.375467,1.007701,2.015401,35.413897,0.942290,0.924878
2026-06-12T17:47:02.384231,1.017645,2.035289,35.763358,0.964860,0.923404
2026-06-12T17:47:02.396556,1.028219,2.056438,36.134974,0.974856,0.923082
2026-06-12T17:47:02.406052,1.038323,2.076646,36.490061,0.972921,0.924832
2026-06-12T17:47:02.417023,1.048932,2.097864,36.862907,0.968085,0.938651
2026-06-12T17:47:02.426933,1.059094,2.118189,37.220040,0.975501,0.956477
2026-06-12T17:47:02.438856,1.069671,2.139342,37.591743,0.976146,0.967808
2026-06-12T17:47:02.447540,1.079712,2.159424,37.944609,0.973244,0.972230
2026-06-12T17:47:02.458121,1.090401,2.180801,38.320242,0.976790,0.973935
2026-06-12T17:47:02.467578,1.100823,2.201646,38.686515,0.979692,0.974626
2026-06-12T17:47:02.479909,1.111211,2.222423,39.051598,0.981305,0.975823
2026-06-12T17:47:02.487978,1.121612,2.243224,39.417119,0.979692,0.977481
2026-06-12T17:47:02.500168,1.131950,2.263901,39.780434,0.924233,0.970157
2026-06-12T17:47:02.509038,1.142340,2.284680,40.145559,0.883606,0.956938
2026-06-12T17:47:02.521781,1.152741,2.305482,40.511087,0.929392,0.950673
2026-06-12T17:47:02.529888,1.163629,2.327259,40.893738,0.957444,0.947909
2026-06-12T17:47:02.542092,1.173764,2.347529,41.249915,0.970664,0.946620
