timestamp,time_s,disp_mm,disp_ul,raw_V,avg_V
2026-06-12T18:52:39.715974,0.000001,0.000001,0.000013,0.734318,0.734318
2026-06-12T18:52:39.724494,0.010482,0.005241,0.092092,0.733995,0.734156
2026-06-12T18:52:39.738761,0.020854,0.010427,0.183219,0.733028,0.733780
2026-06-12T18:52:39.745962,0.031256,0.015628,0.274609,0.734318,0.733915
2026-06-12T18:52:39.755665,0.041666,0.020833,0.366065,0.733350,0.733802
2026-06-12T18:52:39.765725,0.051724,0.025862,0.454436,0.735930,0.734156
2026-06-12T18:52:39.778671,0.061989,0.030995,0.544624,0.734962,0.734272
2026-06-12T18:52:39.787359,0.072475,0.036237,0.636751,0.734962,0.734364
2026-06-12T18:52:39.796774,0.082763,0.041381,0.727138,0.733995,0.734364
2026-06-12T18:52:39.807295,0.093274,0.046637,0.819489,0.736252,0.734824
2026-06-12T18:52:39.820858,0.103776,0.051888,0.911760,0.735930,0.735055
2026-06-12T18:52:39.828411,0.114207,0.057104,1.003403,0.738509,0.735792
2026-06-12T18:52:39.838697,0.124692,0.062346,1.095517,0.736897,0.735930
2026-06-12T18:52:39.849149,0.135123,0.067562,1.187169,0.738187,0.736390
2026-06-12T18:52:39.862130,0.145285,0.072642,1.276443,0.734318,0.736298
2026-06-12T18:52:39.870834,0.155344,0.077672,1.364822,0.737220,0.736759
2026-06-12T18:52:39.881485,0.165700,0.082850,1.455806,0.736252,0.736759
2026-06-12T18:52:39.890190,0.176167,0.088083,1.547769,0.737864,0.737035
2026-06-12T18:52:39.900222,0.186224,0.093112,1.636128,0.737542,0.736897
2026-06-12T18:52:39.912094,0.196355,0.098177,1.725137,0.737542,0.736989
2026-06-12T18:52:39.920944,0.206928,0.103464,1.818032,0.732705,0.736206
2026-06-12T18:52:39.931100,0.217089,0.108545,1.907308,0.727869,0.735285
2026-06-12T18:52:39.941347,0.227331,0.113666,1.997290,0.729804,0.734226
2026-06-12T18:52:39.953257,0.237515,0.118757,2.086761,0.734640,0.733995
2026-06-12T18:52:39.962123,0.248107,0.124053,2.179818,0.736897,0.733857
2026-06-12T18:52:39.975275,0.258148,0.129074,2.268038,0.739477,0.734133
2026-06-12T18:52:39.985243,0.268624,0.134312,2.360079,0.737220,0.734087
2026-06-12T18:52:39.994828,0.278840,0.139420,2.449835,0.733673,0.734226
2026-06-12T18:52:40.003898,0.288886,0.144443,2.538100,0.732705,0.734916
2026-06-12T18:52:40.012980,0.298969,0.149484,2.626685,0.736575,0.735884
2026-06-12T18:52:40.023607,0.309016,0.154508,2.714959,0.735930,0.736068
2026-06-12T18:52:40.036510,0.319242,0.159621,2.804803,0.737864,0.736206
2026-06-12T18:52:40.044833,0.329567,0.164784,2.895519,0.737220,0.735884
2026-06-12T18:52:40.054099,0.340074,0.170037,2.987829,0.734962,0.735561
2026-06-12T18:52:40.066552,0.350524,0.175262,3.079644,0.734962,0.735746
2026-06-12T18:52:40.074683,0.360710,0.180355,3.169137,0.735607,0.736160
2026-06-12T18:52:40.087692,0.370810,0.185405,3.257869,0.736897,0.736206
2026-06-12T18:52:40.095286,0.381014,0.190507,3.347515,0.735607,0.736160
2026-06-12T18:52:40.105131,0.391118,0.195559,3.436287,0.736252,0.735930
2026-06-12T18:52:40.115445,0.401428,0.200714,3.526871,0.736897,0.735884
2026-06-12T18:52:40.128711,0.411472,0.205736,3.615117,0.734962,0.735884
2026-06-12T18:52:40.138742,0.421710,0.210855,3.705068,0.734640,0.735838
2026-06-12T18:52:40.146179,0.432162,0.216081,3.796896,0.734318,0.735653
2026-06-12T18:52:40.156420,0.442401,0.221201,3.886859,0.733673,0.735193
2026-06-12T18:52:40.169864,0.452777,0.226388,3.978013,0.736575,0.735331
2026-06-12T18:52:40.178153,0.463274,0.231637,4.070244,0.736897,0.735423
2026-06-12T18:52:40.187803,0.473789,0.236895,4.162625,0.735285,0.735193
2026-06-12T18:52:40.200469,0.483932,0.241966,4.251739,0.722387,0.733396
2026-06-12T18:52:40.211575,0.494142,0.247071,4.341445,0.722710,0.731692
2026-06-12T18:52:40.221568,0.504278,0.252139,4.430493,0.730126,0.731093
2026-06-12T18:52:40.230345,0.514791,0.257396,4.522861,0.736252,0.731462
2026-06-12T18:52:40.239061,0.525042,0.262521,4.612927,0.735930,0.731370
2026-06-12T18:52:40.249575,0.535564,0.267782,4.705367,0.737864,0.731508
2026-06-12T18:52:40.262107,0.545679,0.272839,4.794235,0.733028,0.731185
2026-06-12T18:52:40.272899,0.556041,0.278020,4.885272,0.735607,0.733074
2026-06-12T18:52:40.280258,0.566254,0.283127,4.975004,0.735285,0.734870
2026-06-12T18:52:40.290733,0.576717,0.288358,5.066928,0.738832,0.736114
2026-06-12T18:52:40.303220,0.587181,0.293590,5.158863,0.737542,0.736298
2026-06-12T18:52:40.312864,0.597749,0.298875,5.251714,0.739477,0.736805
2026-06-12T18:52:40.321855,0.607842,0.303921,5.340384,0.736252,0.736575
2026-06-12T18:52:40.332209,0.618209,0.309105,5.431475,0.736252,0.737035
2026-06-12T18:52:40.345373,0.628344,0.314172,5.520514,0.734318,0.736851
2026-06-12T18:52:40.353995,0.638578,0.319289,5.610427,0.737542,0.737173
2026-06-12T18:52:40.363122,0.649114,0.324557,5.702995,0.726257,0.735377
2026-06-12T18:52:40.373460,0.659441,0.329720,5.793726,0.727224,0.733903
2026-06-12T18:52:40.387218,0.669838,0.334919,5.885072,0.733995,0.733120
2026-06-12T18:52:40.396116,0.680430,0.340215,5.978134,0.733028,0.732659
2026-06-12T18:52:40.406624,0.690590,0.345295,6.067394,0.733995,0.732337
2026-06-12T18:52:40.415108,0.701102,0.350551,6.159751,0.735930,0.732567
2026-06-12T18:52:40.425643,0.711618,0.355809,6.252148,0.733028,0.731922
2026-06-12T18:52:40.436627,0.721806,0.360903,6.341656,0.728836,0.732291
2026-06-12T18:52:40.445982,0.731961,0.365980,6.430874,0.736575,0.733627
2026-06-12T18:52:40.456254,0.742229,0.371114,6.521087,0.734640,0.733719
2026-06-12T18:52:40.466651,0.752623,0.376312,6.612410,0.734318,0.733903
2026-06-12T18:52:40.478382,0.763209,0.381604,6.705411,0.733350,0.733811
2026-06-12T18:52:40.487794,0.773770,0.386885,6.798205,0.736897,0.733949
2026-06-12T18:52:40.500867,0.784031,0.392016,6.888357,0.733350,0.733995
2026-06-12T18:52:40.508200,0.794179,0.397090,6.977513,0.736575,0.735101
2026-06-12T18:52:40.520067,0.804346,0.402173,7.066836,0.735607,0.734962
2026-06-12T18:52:40.529121,0.815105,0.407553,7.161365,0.737542,0.735377
2026-06-12T18:52:40.539168,0.825150,0.412575,7.249618,0.733028,0.735193
2026-06-12T18:52:40.549460,0.835436,0.417718,7.339992,0.737542,0.735792
2026-06-12T18:52:40.561859,0.846010,0.423005,7.432888,0.734962,0.735515
2026-06-12T18:52:40.570436,0.856416,0.428208,7.524313,0.738832,0.736298
2026-06-12T18:52:40.580807,0.866795,0.433397,7.615499,0.736897,0.736344
2026-06-12T18:52:40.591113,0.877096,0.438548,7.706008,0.738187,0.736713
2026-06-12T18:52:40.603308,0.887183,0.443592,7.794629,0.732061,0.735930
2026-06-12T18:52:40.611609,0.897746,0.448873,7.887430,0.734318,0.736114
2026-06-12T18:52:40.622200,0.908176,0.454088,7.979066,0.734640,0.735699
2026-06-12T18:52:40.632575,0.918555,0.459278,8.070257,0.737542,0.736068
2026-06-12T18:52:40.644989,0.928854,0.464427,8.160740,0.736575,0.735746
2026-06-12T18:52:40.653245,0.939229,0.469614,8.251894,0.738187,0.735930
2026-06-12T18:52:40.663638,0.949625,0.474813,8.343233,0.733995,0.735331
2026-06-12T18:52:40.674173,0.960150,0.480075,8.435702,0.732383,0.735377
2026-06-12T18:52:40.686715,0.970395,0.485197,8.525711,0.735285,0.735515
2026-06-12T18:52:40.695282,0.980813,0.490406,8.617243,0.735930,0.735699
